date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:42	63552/63552	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7320F260F%22	https://mm-gold.azureedge.net/evolution/QA/evolution_origin_life.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_origin_life.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:42	13865/13865	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73376CE17%22	https://mm-gold.azureedge.net/evolution/QA/evolution_without_abiogenesis.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_without_abiogenesis.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:42	35280/35280	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D730FB43B6%22	https://mm-gold.azureedge.net/evolution/QA/evolution_cell_chance.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/evolution_cell_chance.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:42	22855/22855	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D737FCA9FA%22	https://mm-gold.azureedge.net/evolution/QA/silicon_based_life.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/silicon_based_life.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:43	25812/25812	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73852E0B5%22	https://mm-gold.azureedge.net/evolution/QA/zakir_naik.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/zakir_naik.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:43	19856/19856	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73630C160%22	https://mm-gold.azureedge.net/evolution/QA/ID_teach_school.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/ID_teach_school.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:43	47691/47691	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7359AC237%22	https://mm-gold.azureedge.net/evolution/QA/first_WilliamPaley_design_physics.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/first_WilliamPaley_design_physics.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:43	25748/25748	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D735DAD8C3%22	https://mm-gold.azureedge.net/evolution/QA/hoyle_boeing.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/hoyle_boeing.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:44	39845/39845	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7304C3E35%22	https://mm-gold.azureedge.net/evolution/QA/behe_irreducible_complexity.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/behe_irreducible_complexity.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:44	37011/37011	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D73764D605%22	https://mm-gold.azureedge.net/evolution/QA/noas_ark.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/noas_ark.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:44	38233/38233	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D7353BB1D7%22	https://mm-gold.azureedge.net/evolution/QA/fine-tune.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/fine-tune.html	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:45	39314/39314	---M-Z	200	added ('OK')	text/html	etag:%220x8D481D730A11558%22	https://mm-gold.azureedge.net/evolution/QA/designed.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/QA/designed.html	(from https://mm-gold.azureedge.net/evolution/index.html)
